Rank,Title,Year,Rating
The Shawshank Redemption,The Shawshank Redemption,1994,9.3
The Godfather,The Godfather,1972,9.2
The Dark Knight,The Dark Knight,2008,9.1
The Godfather Part II,The Godfather Part II,1974,9.0
12 Angry Men,12 Angry Men,1957,9.0
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,9.0
Schindler's List,Schindler's List,1993,9.0
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
Pulp Fiction,Pulp Fiction,1994,8.8
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",1966,8.8
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,8.8
Forrest Gump,Forrest Gump,1994,8.8
Fight Club,Fight Club,1999,8.8
Inception,Inception,2010,8.8
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
The Matrix,The Matrix,1999,8.7
Goodfellas,Goodfellas,1990,8.7
Interstellar,Interstellar,2014,8.7
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,8.7
Se7en,Se7en,1995,8.6
It's a Wonderful Life,It's a Wonderful Life,1946,8.6
The Silence of the Lambs,The Silence of the Lambs,1991,8.6
Seven Samurai,Seven Samurai,1954,8.6
Saving Private Ryan,Saving Private Ryan,1998,8.6
The Green Mile,The Green Mile,1999,8.6
City of God,City of God,2002,8.6
Life Is Beautiful,Life Is Beautiful,1997,8.6
Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,8.6
Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope,1977,8.6
Back to the Future,Back to the Future,1985,8.5
Spirited Away,Spirited Away,2001,8.6
The Pianist,The Pianist,2002,8.5
Gladiator,Gladiator,2000,8.5
Parasite,Parasite,2019,8.5
Psycho,Psycho,1960,8.5
Grave of the Fireflies,Grave of the Fireflies,1988,8.5
The Lion King,The Lion King,1994,8.5
Harakiri,Harakiri,1962,8.6
The Departed,The Departed,2006,8.5
Whiplash,Whiplash,2014,8.5
The Prestige,The Prestige,2006,8.5
American History X,American History X,1998,8.5
Léon: The Professional,Léon: The Professional,1994,8.5
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023,8.5
Cinema Paradiso,Cinema Paradiso,1988,8.5
Casablanca,Casablanca,1942,8.5
The Intouchables,The Intouchables,2011,8.5
The Usual Suspects,The Usual Suspects,1995,8.5
Alien,Alien,1979,8.5
Modern Times,Modern Times,1936,8.5
Rear Window,Rear Window,1954,8.5
Django Unchained,Django Unchained,2012,8.5
Once Upon a Time in the West,Once Upon a Time in the West,1968,8.5
City Lights,City Lights,1931,8.5
Apocalypse Now,Apocalypse Now,1979,8.4
WALL·E,WALL·E,2008,8.4
Memento,Memento,2000,8.4
Dune: Part Two,Dune: Part Two,2024,8.4
Raiders of the Lost Ark,Raiders of the Lost Ark,1981,8.4
Avengers: Infinity War,Avengers: Infinity War,2018,8.4
The Lives of Others,The Lives of Others,2006,8.4
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,8.4
Sunset Boulevard,Sunset Boulevard,1950,8.4
Witness for the Prosecution,Witness for the Prosecution,1957,8.4
Paths of Glory,Paths of Glory,1957,8.4
The Shining,The Shining,1980,8.4
The Great Dictator,The Great Dictator,1940,8.4
Inglourious Basterds,Inglourious Basterds,2009,8.4
Aliens,Aliens,1986,8.4
12th Fail,12th Fail,2023,8.7
High and Low,High and Low,1963,8.4
